country,country_code,year,material,recovered_material_tonnes,documented_recycled_tonnes,e_waste_generated_tonnes,recycling_rate_pct
Netherlands,NLD,2018,gold,,,,75.6
Norway,NOR,2010,gold,,,,81.5
Norway,NOR,2011,gold,,,,81.7
Norway,NOR,2012,gold,,,,78.9
Norway,NOR,2013,gold,,,,80.8
Norway,NOR,2014,gold,,,,80.1
Norway,NOR,2015,gold,,,,82.4
Norway,NOR,2016,gold,,,,85.4
Norway,NOR,2017,gold,,,,86.2
Norway,NOR,2018,gold,,,,81.4
Poland,POL,2010,gold,,,,78.4
Poland,POL,2011,gold,,,,90.0
Poland,POL,2012,gold,,,,76.3
Poland,POL,2013,gold,,,,75.6
Poland,POL,2014,gold,,,,73.5
Poland,POL,2015,gold,,,,69.7
Poland,POL,2016,gold,,,,82.2
Poland,POL,2017,gold,,,,82.7
Poland,POL,2018,gold,,,,87.6
Portugal,PRT,2010,gold,,,,85.0
Portugal,PRT,2011,gold,,,,83.0
Portugal,PRT,2012,gold,,,,86.6
Portugal,PRT,2013,gold,,,,86.6
Portugal,PRT,2014,gold,,,,76.9
Portugal,PRT,2015,gold,,,,78.0
Portugal,PRT,2016,gold,,,,82.1
Portugal,PRT,2017,gold,,,,80.9
Romania,ROU,2010,gold,,,,84.7
Romania,ROU,2011,gold,,,,85.1
Romania,ROU,2012,gold,,,,84.3
Romania,ROU,2013,gold,,,,86.7
Romania,ROU,2014,gold,,,,87.3
Romania,ROU,2015,gold,,,,66.0
Romania,ROU,2016,gold,,,,74.0
Slovakia,SVK,2010,gold,,,,87.1
Slovakia,SVK,2011,gold,,,,86.6
Slovakia,SVK,2012,gold,,,,87.8
Slovakia,SVK,2013,gold,,,,85.1
Slovakia,SVK,2014,gold,,,,90.7
Slovakia,SVK,2015,gold,,,,86.7
Slovakia,SVK,2016,gold,,,,89.4
Slovakia,SVK,2017,gold,,,,88.6
Slovakia,SVK,2018,gold,,,,88.9
Slovenia,SVN,2010,gold,,,,78.5
Slovenia,SVN,2011,gold,,,,75.1
Slovenia,SVN,2012,gold,,,,79.7
Slovenia,SVN,2013,gold,,,,51.0
Slovenia,SVN,2014,gold,,,,81.6
Slovenia,SVN,2015,gold,,,,86.2
Slovenia,SVN,2016,gold,,,,75.8
Slovenia,SVN,2017,gold,,,,86.9
Slovenia,SVN,2018,gold,,,,84.6
Spain,ESP,2010,gold,,,,67.4
Spain,ESP,2011,gold,,,,80.3
Spain,ESP,2012,gold,,,,84.5
Spain,ESP,2013,gold,,,,82.0
Spain,ESP,2014,gold,,,,76.9
Spain,ESP,2015,gold,,,,75.7
Spain,ESP,2016,gold,,,,87.8
Spain,ESP,2017,gold,,,,83.1
Spain,ESP,2018,gold,,,,86.2
Sweden,SWE,2010,gold,,,,83.9
Sweden,SWE,2011,gold,,,,83.6
Sweden,SWE,2012,gold,,,,84.3
Sweden,SWE,2013,gold,,,,83.7
Sweden,SWE,2014,gold,,,,84.1
Sweden,SWE,2015,gold,,,,83.6
Sweden,SWE,2016,gold,,,,83.4
Sweden,SWE,2017,gold,,,,83.5
Sweden,SWE,2018,gold,,,,83.3
United Kingdom,GBR,2014,gold,,,,80.6
United Kingdom,GBR,2015,gold,,,,80.9
United Kingdom,GBR,2016,gold,,,,81.6
United Kingdom,GBR,2017,gold,,,,82.1
United Kingdom,GBR,2018,gold,,,,86.2
Austria,AUT,2010,lithium,,,,79.9
Austria,AUT,2011,lithium,,,,81.5
Austria,AUT,2012,lithium,,,,80.0
Austria,AUT,2013,lithium,,,,79.0
Austria,AUT,2014,lithium,,,,79.6
Austria,AUT,2015,lithium,,,,81.1
Austria,AUT,2016,lithium,,,,81.8
Austria,AUT,2017,lithium,,,,80.2
Austria,AUT,2018,lithium,,,,79.8
Belgium,BEL,2010,lithium,,,,80.2
Belgium,BEL,2011,lithium,,,,77.7
Belgium,BEL,2012,lithium,,,,78.4
Belgium,BEL,2013,lithium,,,,79.1
Belgium,BEL,2014,lithium,,,,76.7
Belgium,BEL,2015,lithium,,,,77.4
Belgium,BEL,2016,lithium,,,,72.5
Belgium,BEL,2017,lithium,,,,75.1
Belgium,BEL,2018,lithium,,,,72.5
Bulgaria,BGR,2010,lithium,,,,78.4
Bulgaria,BGR,2011,lithium,,,,82.3
Bulgaria,BGR,2012,lithium,,,,84.0
Bulgaria,BGR,2013,lithium,,,,83.5
Bulgaria,BGR,2014,lithium,,,,84.9
Bulgaria,BGR,2015,lithium,,,,85.6
Bulgaria,BGR,2016,lithium,,,,81.5
Bulgaria,BGR,2017,lithium,,,,83.7
Bulgaria,BGR,2018,lithium,,,,81.0
Croatia,HRV,2012,lithium,,,,92.3
Croatia,HRV,2013,lithium,,,,97.4
Croatia,HRV,2014,lithium,,,,95.7
Croatia,HRV,2015,lithium,,,,92.5
Croatia,HRV,2016,lithium,,,,96.3
Croatia,HRV,2017,lithium,,,,95.2
Croatia,HRV,2018,lithium,,,,91.2
Cyprus,CYP,2010,lithium,,,,71.6
Cyprus,CYP,2011,lithium,,,,78.9
Cyprus,CYP,2012,lithium,,,,86.6
Cyprus,CYP,2013,lithium,,,,80.3
Cyprus,CYP,2014,lithium,,,,89.4
Cyprus,CYP,2015,lithium,,,,91.0
Cyprus,CYP,2016,lithium,,,,87.8
Cyprus,CYP,2017,lithium,,,,78.3
Czechia,CZE,2010,lithium,,,,86.7
Czechia,CZE,2011,lithium,,,,86.8
Czechia,CZE,2012,lithium,,,,80.6
Czechia,CZE,2013,lithium,,,,91.1
Czechia,CZE,2014,lithium,,,,85.5
Czechia,CZE,2015,lithium,,,,82.5
Czechia,CZE,2016,lithium,,,,90.0
Czechia,CZE,2017,lithium,,,,86.9
Czechia,CZE,2018,lithium,,,,84.7
Denmark,DNK,2010,lithium,,,,83.5
Denmark,DNK,2011,lithium,,,,92.0
Denmark,DNK,2012,lithium,,,,84.4
Denmark,DNK,2013,lithium,,,,82.6
Denmark,DNK,2014,lithium,,,,83.0
Denmark,DNK,2015,lithium,,,,84.2
Denmark,DNK,2016,lithium,,,,86.4
Denmark,DNK,2017,lithium,,,,85.8
Denmark,DNK,2018,lithium,,,,80.7
Estonia,EST,2010,lithium,,,,82.7
Estonia,EST,2011,lithium,,,,69.5
Estonia,EST,2012,lithium,,,,80.4
Estonia,EST,2013,lithium,,,,66.0
Estonia,EST,2014,lithium,,,,85.1
Estonia,EST,2015,lithium,,,,86.7
Estonia,EST,2016,lithium,,,,86.7
Estonia,EST,2017,lithium,,,,85.7
Estonia,EST,2018,lithium,,,,85.7
Finland,FIN,2010,lithium,,,,88.5
Finland,FIN,2011,lithium,,,,89.1
Finland,FIN,2012,lithium,,,,89.4
Finland,FIN,2013,lithium,,,,87.9
Finland,FIN,2014,lithium,,,,87.8
Finland,FIN,2015,lithium,,,,92.5
Finland,FIN,2016,lithium,,,,88.9
Finland,FIN,2017,lithium,,,,90.0
Finland,FIN,2018,lithium,,,,89.7
France,FRA,2010,lithium,,,,77.4
